index,id,title,douyin_url,baidu_url
466,525,龙造寺家和,,https://baike.baidu.com/item/%E9%BE%99%E9%80%A0%E5%AF%BA%E5%AE%B6%E5%92%8C
467,290,甘粕长重,,
468,737,井伊谷三人众,/wikiid/7775526565620746958?source=search,https://baike.baidu.com/item/%E4%BA%95%E4%BC%8A%E8%B0%B7%E4%B8%89%E4%BA%BA%E4%BC%97
469,861,土桥重治,,
470,1842,甲州法度次第,,https://baike.baidu.com/item/%E7%94%B2%E5%B7%9E%E6%B3%95%E5%BA%A6%E6%AC%A1%E7%AC%AC
471,2095,金崎殿后,/wikiid/4689126460412555061?source=search,https://baike.baidu.com/item/%E9%87%91%E5%B4%8E%E6%AE%BF%E5%90%8E
472,2071,德川家康影武者说,,
473,19,芦名义广,/wikiid/2065842086136933354?source=search,https://baike.baidu.com/item/%E8%8A%A6%E5%90%8D%E4%B9%89%E5%B9%BF/1613938
474,1587,狩野永德,/wikiid/5543171147231837672?source=search,https://baike.baidu.com/item/%E7%8B%A9%E9%87%8E%E6%B0%B8%E5%BE%B7
475,1600,五奉行,/wikiid/3464361713862269258?source=search,https://baike.baidu.com/item/%E4%BA%94%E5%A5%89%E8%A1%8C
476,1508,长门广益,,https://baike.baidu.com/item/%E9%95%BF%E9%97%A8%E5%B9%BF%E7%9B%8A
478,48,松浦隆信,/wikiid/1506923973680007546?source=search,https://baike.baidu.com/item/%E6%9D%BE%E6%B5%A6%E9%9A%86%E4%BF%A1
480,1583,羽柴秀胜 (石松丸),,
481,862,坂井孙八郎,/wikiid/3198584064923184900?source=search,https://baike.baidu.com/item/%E5%9D%82%E4%BA%95%E5%AD%99%E5%85%AB%E9%83%8E
482,1366,立花鉴载,,
483,1142,村上吉充,/wikiid/1370686461754821735?source=search,https://baike.baidu.com/item/%E6%9D%91%E4%B8%8A%E5%90%89%E5%85%85
484,927,安东常久,/wikiid/1146192617011586710?source=search,https://baike.baidu.com/item/%E5%AE%89%E4%B8%9C%E5%B8%B8%E4%B9%85
485,978,小笠原信净,,https://baike.baidu.com/item/%E5%B0%8F%E7%AC%A0%E5%8E%9F%E4%BF%A1%E5%87%80
486,1182,松田政近,,
487,850,和田惟长,,
488,783,儿玉就英,/wikiid/7105848307349476730?source=search,https://baike.baidu.com/item/%E5%84%BF%E7%8E%89%E5%B0%B1%E8%8B%B1
489,638,宇佐美定满,/wikiid/7912163740848442467?source=search,https://baike.baidu.com/item/%E5%AE%87%E4%BD%90%E7%BE%8E%E5%AE%9A%E6%BB%A1/1441862
490,688,三宅康信,,https://baike.baidu.com/item/%E4%B8%89%E5%AE%85%E5%BA%B7%E4%BF%A1
491,1846,藏入地,,
492,988,小豆坂七本枪,/wikiid/907066048075524425?source=search,https://baike.baidu.com/item/%E5%B0%8F%E8%B1%86%E5%9D%82%E4%B8%83%E6%9C%AC%E6%9E%AA
493,725,久松俊胜,/wikiid/8259323059538653563?source=search,https://baike.baidu.com/item/%E4%B9%85%E6%9D%BE%E4%BF%8A%E8%83%9C
494,724,乃美宗胜,/wikiid/5922956389103498118?source=search,https://baike.baidu.com/item/%E4%B9%83%E7%BE%8E%E5%AE%97%E8%83%9C
495,1151,松平伊忠,,
496,1654,落武者,/wikiid/4698526862482263399?source=search,https://baike.baidu.com/item/%E8%90%BD%E6%AD%A6%E8%80%85
497,822,北条氏胜,,
